# Наименования для Ozon. Формат: артикул | наименование
#
# Правила Ozon (docs/ozon/ozon-ranking-2026.md §4):
#   до 200 знаков, оптимально 40–80; одно слово не более двух раз;
#   важное в начало; запрещены ® © [ ] = \ « » ™; с заглавной буквы.
#
# Ключи взяты из ядра WB (docs/ozon/ядро_wb.tsv). Решение владелицы от
# 10.09.2026: не ждать сверки с Ozon, работать по WB и править потом
# по живым продажам.
#
# Бренд в наименование не ставим: «Бренд» — отдельное обязательное поле,
# а «АРОЛС» поискового спроса не имеет и съедает знаки, которых на Ozon
# и так в обрез. Решение обратимое.
#
# «Медицинский пластик» из ACRA7TB401BC НЕ переносим: на WB это пункт A
# чеклиста (заявление о свойствах без подтверждения). На Ozon те же грабли.

# ── Таблетница ──────────────────────────────────────────────────────────
# Ключи: таблетница (209657), таблетница на неделю (86685), таблетница на
# день (36441), органайзер для таблеток (14497), контейнер для лекарств
# (12997), контейнер для таблеток (12978), таблетница на неделю 2 приема
# (11555), таблетница маленькая (11185), таблетница утро вечер (4758)
AHMA3BW201WH | Сетка для стирки белья мелкая ячейка, набор мешков 3 шт
AHMA3BW202WH | Сетка для стирки белья в машинке крупная ячейка, набор 3 шт
AHMA7BW101BG | Мешки для стирки белья, набор 7 шт с контейнером, бежевые

# ── Маска-бандаж ────────────────────────────────────────────────────────
# Ключи: бандаж для лица (43190), бандаж (31450), подтяжка лица (10575),
# бандаж для лица и подбородка (7955), маска для подбородка (4664)
# НЕ берём «тренажер для лица» и «тренажер для челюсти» — заявление о
# свойствах, на WB это раздел A чеклиста.
ACRF1BN101BC | Бандаж для лица и подбородка, маска для подтяжки овала, черный
ACRF1BN101PN | Бандаж для лица и подбородка из лайкры, маска для подтяжки, розовый
ACRF1BN201GR | Бандаж для лица и подбородка силиконовый, маска для подтяжки овала

# ── Игрушка для животных ────────────────────────────────────────────────
# Ключи: мячик для собак (25185), игрушки для собак крупных пород (21173),
# игрушки для собак средних пород (10210), канат для собак (5331)
# У AAND1ST202BL НЕ пишем «зубная щетка»: позиция 9603 21, маркировка
# обязательна с 01.10.2026. На WB это первый пункт чеклиста.
AAND1BL101BL | Мячик для собак мелких пород на веревке, прочная игрушка, синий
AAND1BL101RD | Мячик для собак мелких пород на резинке, игрушка регби 7 см
AAND1BL102BL | Мяч для собак крупных пород на веревке, прочная игрушка, синий
AAND1BL102RD | Мяч для собак крупных пород на резинке, прочная игрушка, красный
AAND1RP301BG | Канат для собак крупных пород, игрушка петля 55 см, хлопок
AAND1RP301YL | Канат для собак средних пород, игрушка жгут 55 см, хлопок
AAND1ST202BL | Игрушка для собак жевательная, кость палочка прочная, синяя

# ── Кухонный нож ────────────────────────────────────────────────────────
# Ключи: нож для пиццы (27065), открывашка (26224), нож для теста (13701),
# консервный нож (11250), нож для пиццы и теста (4074), тесторезка (3758)
AKTA1KN101GR | Консервный нож открывашка для консервов и банок, сталь
AKTA2KN102GN | Нож для пиццы и теста качающийся с чехлом 15 см, резак, зеленый
AKTA2KN102YL | Нож для пиццы и теста качающийся с чехлом 15 см, тесторезка, желтый

# ── Пробка ──────────────────────────────────────────────────────────────
# Ключи: пробка для бутылки (14788), пробка (11989), пробка для вина
# (11850), пробка для шампанского (7305), силиконовая (2115)
AKTA4ST101CL | Пробка для бутылки и вина силиконовая многоразовая, набор 4 шт
AKTA4ST102CL | Пробка для вина и шампанского силиконовая, стоппер бутылки 4 шт
AKTA4ST103CL | Пробка для бутылки вина многоразовая, крышка закрывашка, 4 шт

# ── Фитнес и йога ───────────────────────────────────────────────────────
# Ключи: скакалка (98963), скакалка спортивная взрослая (10370), скакалка
# гимнастическая (10132), скакалка скоростная (3369), фитнес резинки (1162)
ACRB1SK101BC | Скакалка скоростная спортивная взрослая, стальной трос 3 м, черная
ACRB1SK101BL | Скакалка спортивная взрослая женская скоростная 3 м, голубая
ACRB1SK101RD | Скакалка скоростная спортивная 3 м на подшипниках, красная
ACRB1SK201BC | Скакалка спортивная взрослая со счетчиком, для фитнеса и дома
ACRB3FR101CL | Фитнес резинки тканевые для ягодиц и ног, набор 3 шт, 27-68 кг
ACRB4FR300CL | Фитнес резинки латексные для йоги, эспандер лента, набор 4 шт
ACRB5FR200CL | Фитнес резинки тканевые для ног и ягодиц, эспандер, набор 5 шт
ACRB5FR400CL | Фитнес резинки эластичные ленты для спорта, набор 5 шт

# ── Шпатель-скребок кондитерский ────────────────────────────────────────
# Ключи: шпатель кондитерский (29285), кондитерский набор (24228),
# для кондитера (14998), лопатка кондитерская (3411)
AKTA2KN101BL | Шпатель скребок кондитерский для теста, лопатка для крема, голубой
AKTA2KN101YL | Шпатель скребок кондитерский для теста стальной, лопатка, желтый

# ── Аксессуар для массажа ───────────────────────────────────────────────
# Ключи: массажер для шеи (177872), массажер для тела (158637), массажер
# для тела ручной (12995), роликовый массажер для тела (8480)
# ACRH1MS101RJ — единственный с кодом 9019, у него «массажер» уместен.
ACRB1MS101BL | Массажер для шеи и спины ручной роликовый ленточный, голубой
ACRB1MS101PN | Массажер для шеи и плеч ручной роликовый ленточный, розовый
ACRB1MS101RJ | Массажер для шеи и спины ручной роликовый ленточный, оранжевый
ACRH1MS101RJ | Массажер для пальцев рук роликовый, для кистей, оранжевый

# ── Спортивный массажный мяч ────────────────────────────────────────────
# Ключи: мячик массажный (59435), мяч для пилатеса (22715), мяч массажный
# с шипами (12718), шарик для массажа (11810), мфр мяч (11026)
# НЕ пишем «ортопедический» и «лимфодренажный» — были в наименованиях на
# WB, тянут карточку в позицию 9019 и под маркировку.
ACRB1MS103BL | Мяч массажный мфр для йоги и пилатеса, шарик для массажа, голубой
ACRB1MS103LI | Мяч массажный мфр для йоги и пилатеса, шарик для массажа, сиреневый
ACRB1MS103PN | Мяч массажный мфр для йоги и пилатеса, шарик для массажа, розовый
ACRB1MS103RJ | Мяч массажный мфр для йоги и пилатеса, шарик для массажа, оранжевый
ACRB1MS106BL | Мячик массажный с шипами 6 см жесткий, шарик для стоп, голубой
ACRB1MS106BС | Мячик массажный с шипами 6 см жесткий, шарик для стоп, черный
ACRB1MS106PN | Мячик массажный с шипами 6 см жесткий, шарик для стоп, розовый
ACRB1MS106RJ | Мячик массажный с шипами 6 см жесткий, шарик для стоп, оранжевый
ACRB1MS106WH | Мячик массажный с шипами 6 см жесткий, шарик для стоп, белый
ACRB1MS107BL | Мяч массажный с шипами 7 см жесткий, мячик для стоп, голубой
ACRB1MS107BС | Мяч массажный с шипами 7 см жесткий, мячик для стоп, черный
ACRB1MS107PN | Мяч массажный с шипами 7 см жесткий, мячик для стоп, розовый
ACRB1MS107RJ | Мяч массажный с шипами 7 см жесткий, мячик для стоп, оранжевый
ACRB1MS107WH | Мяч массажный с шипами 7 см жесткий, мячик для стоп, белый
ACRB1MS109BL | Мяч массажный с шипами 9 см жесткий, шарик для спины, голубой
ACRB1MS109BС | Мяч массажный с шипами 9 см жесткий, шарик для спины, черный
ACRB1MS109LI | Мяч массажный с шипами 9 см жесткий, шарик для спины, фиолетовый
ACRB1MS109PN | Мяч массажный с шипами 9 см жесткий, шарик для спины, розовый
ACRB1MS109RJ | Мяч массажный с шипами 9 см жесткий, шарик для спины, оранжевый
